factor,phase,evidence,interpretation
Training patience (10 vs. 25),Phase 2,18/20 runs select the exact same checkpoint at patience=25; positive control confirms validation PR-AUC genuinely never improves beyond the patience=10 optimum for every unchanged seed.,Not supported as major contributor
"Output scale (trainable/fixed alpha, +bias)",Phase 2b,"All four variants land within [0.82, 0.84] primary / [0.388, 0.404] severity -- statistically indistinguishable from the raw baseline (0.833/0.392) and each other; mathematically redundant with the existing Linear(6,1) by construction.",Not supported as major contributor
LayerNorm (no-affine / affine) on PauliZ output,Phase 2c,"Genuine, non-redundant change (per-example normalization). Cuts severity recall/F1 std by ~10x, eliminates threshold-0.5 collapse (2->0 seeds), improves calibration on both splits substantially. Costs primary PR-AUC mean (0.833->0.800-0.811) and reverses ranking for one severity seed (45).","Mixed evidence -- adopted as the standing output stage for its stability/calibration benefit, not because it closes the Classical gap"
Seed-specific behavior (seed 45 reversal),Phase 2d,"Seed 45's baseline circuit concentrated signal into one dominant PauliZ channel (corr=0.524, highest of any seed); LayerNorm removes the optimization incentive for this, and that seed's best channel correlation nearly halves (0.524->0.282) while every other seed's improves or holds flat. Gradients, dataset composition, and general training dynamics were all ruled out as explanations.","Supported contributor (to seed-dependent representation distortion specifically, medium confidence, not proven causal)"
"Qubit count (4, 6, 8)",Phase 3,"4q gives the highest primary mean (0.847) with the tightest severity std among the three; 8q is comparable to 6q on both metrics. Confounded with classical Linear(128,n_qubits) parameter count, which scales with qubit count too.","Mixed evidence -- primary is genuinely low-rank (corroborated independently by Stage 1's PCA finding), but the qubit-count effect itself is capacity-confounded"
"Circuit depth (1, 2, 3 layers)",Phase 3,"1 layer: worst primary (0.693) but tightest severity std of any configuration in the whole project (0.017). 3 layers: comparable primary to 2-layer reference, severity run killed (no data).",Inconclusive (3-layer severity incomplete; 1-layer's severity stability not otherwise explained)
"Frozen-embedding representation quality (diagnostic classifiers, PCA)",Phase 4 Stage 1,"A plain logistic regression on the same frozen embedding matches/exceeds both the classical head and every QGNN configuration on severity PR-AUC (0.465-0.469 vs. 0.449/0.398), with far tighter cross-seed std. PCA shows primary signal is low-rank (4 components best) while severity signal is distributed (128 components best).",Supported contributor -- the representation itself is not the ceiling either downstream head is hitting; the severity problem is not solved by more capacity or better projection alone
"Projection/bottleneck architecture (nonlinear, pre-norm, PCA-informed)",Phase 4 Stage 2,"Every alternative underperforms the existing single Linear(128,6) bottleneck on both splits in a 2-seed pilot; PCA-informed projection underperforms despite far fewer parameters and contradicts Stage 1's own diagnostic finding on the same PCA representation.",Not supported as major contributor (2-seed pilot; PCA-projection anomaly flagged as unresolved)
Quantum parameter initialization (default / small Gaussian / identity-like),Phase 4 Stage 4 + 4b,"Small-Gaussian and identity-like both improve primary mean and calibration but degrade severity, in a 2-seed pilot. Identity-like's apparent variance reduction (std 0.094->0.017) did NOT survive 5-seed expansion (std rose to 0.059; severity std became WORSE than the reference, 0.112 vs 0.057). Root-cause analysis attributes the primary/severity split to a ranking-specific overfitting-to-validation failure, not a general calibration or optimization defect.","Not supported as major contributor -- a real trade-off exists but not a net improvement, and the stability claim did not replicate at full seed count"
Ansatz / entanglement topology (StronglyEntangling / hardware-ring / reduced-chain),Phase 4 Stage 5,All three land within ~1% of each other on primary mean and ~4% on severity mean (5 seeds each). StronglyEntangling (reference) has the tightest primary variance. Reduced-entanglement shows a reproducible severity specificity collapse on 2/5 seeds and the most redundant (cross-correlated) quantum feature channels of the three. Not parameter-matched (36/24/12 quantum params).,"Not supported as major contributor to the Classical gap; mixed evidence on secondary properties (stability, calibration, representation redundancy)"
"Quantum encoding (scale, tanh vs. clip, data re-uploading)",Encoding Investigation,"2x scale (E2) is a clear, multiply-corroborated regression (widest angle spread, worst channel-target correlation, distinct severity convergence delay). Linear clip (E3) regresses with a directly measured mechanism (46% of angles saturate exactly at the boundary). Re-uploading (E4) changes representation redundancy without a metrics benefit. 0.5pi (E1) shows a nominally higher primary mean but 1.5x the reference's variance -- not seed-consistent.",Not supported as major contributor (2-seed pilot; no configuration expanded to 5 seeds per the investigation's own decision rule)
Fresh-onset detection,Multiple (Phase 1 through Encoding Investigation),"Fresh-onset PR-AUC sits at 0.004-0.012 across every QGNN-v4 configuration AND the full classical GraphSAGE-Full baseline tested to date -- the full classical model, with complete graph/message-passing access, shows the identical near-zero floor.","Supported contributor (to understanding the limitation) -- ruled out as an architecture-specific problem; a property of the frozen input features at the prediction horizon used, not of any model tested"
