phase,experiment,configuration,split,n_seeds,seed_type,primary_pr_auc,primary_pr_auc_std,severity_pr_auc,severity_pr_auc_std,pr_auc,pr_auc_std,roc_auc,f1,precision,recall,specificity,balanced_accuracy,mcc,brier,ece,decision,source
Reference,Classical GraphSAGE-Full,"full graph, hidden_dim=128",primary,5,full,,,,,0.807,0.0655,0.9871,0.6771,0.522,0.9678,0.9353,0.9515,0.6845,0.0418,0.0493,Reference,QGNN_V4_CLASSICAL_BASELINE.md
Reference,Classical GraphSAGE-Full,"full graph, hidden_dim=128",severity,5,full,,,,,0.4487,0.0131,0.7275,0.4113,0.3871,0.4406,0.9438,0.6922,0.3624,0.0857,0.0904,Reference,QGNN_V4_CLASSICAL_BASELINE.md
Reference,QGNN-v4 standing reference,"6q/2L StronglyEntangling, LayerNorm-no-affine, default init, pi*tanh",primary,5,full,,,,,0.8112,0.0737,0.9775,0.6565,0.5191,0.8975,0.94,0.9188,0.6539,0.0655,0.1823,Reference,QGNN_V4_PHASE2C_REPORT.md
Reference,QGNN-v4 standing reference,"6q/2L StronglyEntangling, LayerNorm-no-affine, default init, pi*tanh",severity,5,full,,,,,0.3976,0.0571,0.6566,0.4187,0.4608,0.4166,0.9513,0.684,0.3824,0.1225,0.2405,Reference,QGNN_V4_PHASE2C_REPORT.md
Phase 1-2b,QGNN-v4 raw baseline,"HybridQuantumHead, alpha=1, no output normalization",primary,5,full,,,,,0.8328,0.1397,0.9829,0.5693,0.4373,0.9603,0.7512,0.8557,0.6839,0.1283,0.2845,Superseded by LayerNorm,QGNN_V4_PHASE2C_REPORT.md Table 1/3
Phase 1-2b,QGNN-v4 raw baseline,"HybridQuantumHead, alpha=1, no output normalization",severity,5,full,,,,,0.3915,0.0237,0.6257,0.2436,0.4354,0.5667,0.5991,0.5829,0.2305,0.2105,0.3448,Superseded by LayerNorm,QGNN_V4_PHASE2C_REPORT.md Table 2/3
Phase 2b,Output scale: trainable alpha,"scale (alpha init=1, trainable, no bias)",primary,5,full,,,,,0.8417,0.116,,,,,,,,0.118,0.253,Not supported as major contributor,QGNN_V4_PHASE2B_REPORT.md Table (4)
Phase 2b,Output scale: trainable alpha,"scale (alpha init=1, trainable, no bias)",severity,5,full,,,,,0.404,0.0447,,,,,,,,0.212,0.351,Not supported as major contributor,QGNN_V4_PHASE2B_REPORT.md Table (4)
Phase 2b,Output scale: trainable alpha+beta,scale_bias,primary,5,full,,,,,0.8412,0.1229,,,,,,,,0.107,0.243,Not supported as major contributor,QGNN_V4_PHASE2B_REPORT.md Table (4)
Phase 2b,Output scale: trainable alpha+beta,scale_bias,severity,5,full,,,,,0.3936,0.0255,,,,,,,,0.211,0.348,Not supported as major contributor,QGNN_V4_PHASE2B_REPORT.md Table (4)
